Drug_Name,Reason,Description,mildness
Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots),mild
Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnezyl Gel(Topical) 10gm,Acne,Â treat acne vulgarisÂ ,moderate
Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,Â treat acne vulgarisÂ ,moderate
Acnil Soap 75gm,Acne,Â treat mild to moderate acne(spots),mild
Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots),mild
Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Aczit 10mg Softgel 10'S,Acne,Â treat acne vulgarisÂ ,moderate
Adabor Gel 15gm,Acne,Â treat acne vulgarisÂ ,moderate
Adacin Gel 15gm,Acne,Â treat mild to moderate acne(spots),mild
Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Adalene Nano Gel 15mg,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Adapnil Gel 15gm,Acne,Mild to moderate acne (spots),mild
Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Ahaglow Acne Control Moisturizing Gel 50gm,Acne,Â treat acne vulgarisÂ ,moderate
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,Â treat acne vulgarisÂ ,moderate
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,Â treat mild to moderate acne(spots),mild
Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Alene Gel 15gm,Acne,Mild to moderate acne (spots),mild
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Alonurish Anti Acne Foaming Face Wash 60ml,Acne,Â treat acne vulgarisÂ ,moderate
Amypure Tablet 90'SAmypure Tablet 100'S,Acne,Â treat acne vulgarisÂ ,moderate
AP Gel 10gm,Acne,Â treat mild to moderate acne(spots),mild
Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots),mild
Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,Â treat acne vulgarisÂ ,moderate
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,Â treat acne vulgarisÂ ,moderate
Bengel AC 2.5% Gel 30gm,Acne,Â treat mild to moderate acne(spots),mild
Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Benzac AC 5% Gel 20gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots),mild
Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Calosoft Plus Cream 30gm,Acne,Â treat acne vulgarisÂ ,moderate
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,Â treat acne vulgarisÂ ,moderate
Canvaz Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots),mild
Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Clearliv Capsule 60'S,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots),mild
Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Cligel A Gel 15gm,Acne,Â treat acne vulgarisÂ ,moderate
Cligel T Gel 15gm,Acne,Â treat acne vulgarisÂ ,moderate
Climple 1% Gel 15gm,Acne,Â treat mild to moderate acne(spots),mild
Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots),mild
Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Clincin Gel 20gmCLINCIN Gel 10gm,Acne,Â treat acne vulgarisÂ ,moderate
Clincin N GE Gel 20gm,Acne,Â treat acne vulgarisÂ ,moderate
Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots),mild
Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Clindapene Gel 15gm,Acne,Mild to moderate acne (spots),mild
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
CLINKRICK Gel 10gm,Acne,Â treat acne vulgarisÂ ,moderate
Clinlup 1% Gel 10gm,Acne,Â treat acne vulgarisÂ ,moderate
Clinmax A Gel 30gmClinmax Gel 20gm,Acne,Â treat mild to moderate acne(spots),mild
Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Clinxa Gel 20gm,Acne,Mild to moderate acne (spots),mild
Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
D Acne Soap 75gmD Acne Gel 10gm,Acne,Â treat acne vulgarisÂ ,moderate
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,moderate
D Acne Plus Gel 15gm,Acne,Â treat mild to moderate acne(spots),mild
Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Depiglare Cream 15gm,Acne,Mild to moderate acne (spots),mild
Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Dersol BH Ointment 30gm,Acne,Â treat acne vulgarisÂ ,moderate
Doxt SL 100mg/5B Tablet 8'S,Acne,Â treat acne vulgarisÂ ,moderate
DS ACNE Face Wash 100gm,Acne,Â treat mild to moderate acne(spots),mild
EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Emolene Cream 100gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Enshine Ointment 15gm,Acne,Mild to moderate acne (spots),mild
Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Eudyna 0.05% Cream 20gm,Acne,Â treat acne vulgarisÂ ,moderate
Eunozit 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,moderate
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,Â treat mild to moderate acne(spots),mild
Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots),mild
Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Flexon Cream 15gm,Acne,Â treat acne vulgarisÂ ,moderate
Foracne Plus Gel 15gm,Acne,Â treat acne vulgarisÂ ,moderate
ZIT 20mg Capsule 10'sZIT 10mg Capsule 10's,Acne,Â treat acne vulgarisÂ ,moderate
Zitblow 20mg Capsule 10'SZitblow 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,moderate
Zitclin Foam Wash Gel 100ml,Acne,Â treat mild to moderate acne(spots),mild
Zyclin Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Addnok Tablet 20'S,Adhd,combined with anti-acne actives of both natural and synthetic origin,moderate
Armod 150mg Tablet 10'SArmod 50mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,moderate
Atokem 25mg Tablet 10'SAtokem 10mg Tablet 10'SAtokem 18mg Tablet 10'S,Adhd,Mild to moderate acne (spots),mild
Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Attera 10mg Tablet 10'SAttera 18mg Tablet 10'SAttera 40mg Tablet 10'SAttera 25mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â ,severe
Axepta 18mg Tablet 10'SAxepta 60mg Tablet 10'SAxepta 40mg Tablet 10'SAxepta 25mg Tablet 10'SAxepta 10mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â ,severe
Capnea Injection 1ml,Adhd,treat the most severe form of acne (nodular acne)Â ,severe
Modafil MD 100mg Tablet 10'SModafil MD 200mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ ,moderate
Modalert 200mg Tablet 10'SModalert 100mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ ,moderate
Modapro 100mg Tablet 10'SModapro 200mg Tablet 10'S,Adhd,Â treat mild to moderate acne(spots),mild
Modatec 100mg Tablet 10'SModatec 200mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,moderate
Provake 100mg Tablet 10'SProvake 200mg Tablet 10'S,Adhd,combined with anti-acne actives of both natural and synthetic origin,moderate
Tomoxetin 18mg Capsule 10'S,Adhd,treatment of dry scaly skin disorders of the scalp,moderate
Vitibex Lip Gel 20gm,Adhd,Mild to moderate acne (spots),mild
Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
1 AL M 10/5mg Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
ABICET M Tablet 10's,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Acolate M Kid Syrup 60ml,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Adril Lotion 100ml,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Afineday Tablet 10'S,Allergies,Â treat acne vulgarisÂ ,moderate
AIR 180mg Tablet 10'sAIR 120mg Tablet 10's,Allergies,Â treat acne vulgarisÂ ,moderate
Airitis 5mg Tablet 10'SAiritis Syrup 30ml,Allergies,Â treat mild to moderate acne(spots),mild
Airkast L Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,moderate
Airlung Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin,moderate
Airlung FX 10/120mg Tablet 10'S,Allergies,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
Airtek 10/5mg Tablet 10'S,Allergies,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",moderate
Akair LC 10/5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,moderate
Akuminic Syrup 60ml,Allergies,Mild to moderate acne (spots),mild
Alaspan 10mg Tablet 10'S,Allergies,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Alaspan AM Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Alaspan Oral Solution 60ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Alastin 10mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Alcarex Eye Drops,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Alcet 5mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â ,severe
Alcon Plus Tablet 10'S,Allergies,Â treat acne vulgarisÂ ,moderate
Alday Duo 4/2.5mg Syrup 60ml,Allergies,Â treat acne vulgarisÂ ,moderate
ALDEX SR 6mg Tablet 10's,Allergies,Â treat mild to moderate acne(spots),mild
Aldine 5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp,moderate
Alecloz 180mg Tablet 10'SAlecloz 120mg Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin,moderate
Alenix 5mg Tablet 10'SAlenix 10mg Tablet 10'S,Allergies,Good for Allergic skin,moderate
Alerdain M Tablet 10'S,Allergies,Itching can be soothen,moderate
Alerdain M Kid Tablet 10'S,Allergies,relief from itching,moderate
Alerfex 120mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin,moderate
Alerfix 5mg Tablet 10'S,Allergies,skin care for allergy,moderate
Alerfix M Tablet 15'S,Allergies,Good for Allergic skin,moderate
ALERFRI AF Drops 15ml,Allergies,Itching can be soothen,moderate
Alergin Tablet 10'S,Allergies,relief from itching,moderate
Alergin L Tablet 10'S,Allergies,soothens allergies and good for all types of skin,moderate
Alergin LX Syrup 30ml,Allergies,skin care for allergy,moderate
Alergin NF Syrup 30ml,Allergies,Â improve the appearance of fine lines,moderate
Alergo 120mg Tablet 10'S,Allergies,relief from allergy,moderate
Alerid 10mg Tablet 10'SAlerid Syrup 30mlAlerid Syrup 60ml,Allergies,releief from all type of allergies,moderate
